"Normal1, 111th Right d2",32,134,239,276,350,463,988,1085,1201,1244,1320,1434
"Normal1, 115th Right d2",27,134,248,285,367,498,1037,1147,1255,1292,1374,1499
"Normal1, 119th Right d2",27,137,256,305,381,492,1065,1176,1281,1320,1403,1530
"Normal1, 125th Right d2",29,126,231,273,339,449,974,1079,1187,1230,1298,1405
"Normal1, 157th Right d2",27,132,237,285,356,466,994,1096,1207,1255,1326,1445
"Normal1, 161th Right d2",29,137,248,293,370,489,986,1096,1201,1252,1335,1448
"Normal1, 183th Left d2",29,132,214,254,344,469,991,1096,1181,1227,1318,1434
"Normal1, 187th Left d2",32,129,222,271,344,472,983,1088,1181,1221,1312,1437
"Normal1, 187th Right d2",24,129,228,265,344,452,980,1082,1187,1224,1312,1420
"Normal1, 205th Left d2",29,140,237,285,418,523,971,1079,1184,1224,1335,1437
"Normal1, 205th Right d2",29,132,237,285,367,489,969,1076,1187,1232,1323,1437
"Normal1, 213th Right d2",27,140,251,310,393,523,1059,1173,1283,1326,1414,1539
"Normal1, 219th Right d2",27,129,231,271,341,469,966,1068,1176,1218,1298,1411
"Normal1, 223th Right d2",24,132,234,276,359,472,991,1102,1213,1255,1340,1457
"Normal1, 227th Right d2",32,146,256,296,376,498,1020,1133,1249,1283,1377,1502
"Normal1, 231th Right d2",32,149,265,316,404,529,1031,1142,1264,1312,1403,1533
"Normal1, 235th Right d2",35,143,254,299,384,509,1022,1136,1249,1298,1374,1496
"Normal1, 239th Right d2",29,137,254,296,378,503,1068,1176,1275,1315,1397,1519
"Normal1, 259th Left d2",29,137,239,276,356,486,1045,1153,1261,1309,1397,1482
"Normal1, 269th Right d2",24,137,251,293,378,503,1014,1125,1235,1278,1371,1493
"Normal1, 273th Right d2",27,146,251,302,393,517,1020,1136,1238,1283,1386,1516
"Normal1, 281th Right d2",24,129,239,290,378,498,1042,1153,1247,1298,1388,1505
"Normal1, 285th Left d2",29,143,237,296,404,523,1065,1176,1269,1312,1423,1550
"Normal1, 285th Right d2",21,132,234,293,378,512,1051,1167,1278,1326,1405,1536
"Normal1, 287th Left d2",27,134,237,293,390,498,994,1110,1210,1255,1360,1474
"Normal1, 287th Right d2",24,132,245,296,378,495,991,1102,1213,1258,1343,1471
"Normal1, 289th Right d2",24,140,254,299,387,520,1065,1176,1278,1323,1411,1542
"Normal1, 69th Right d2",27,126,222,282,350,463,986,1085,1184,1241,1318,1423
"Normal1, 73th Right d2",27,120,222,268,339,444,957,1048,1156,1213,1281,1391
"Normal1, 77th Right d2",29,120,219,268,336,444,974,1071,1178,1218,1303,1403
"Normal1, 81th Right d2",27,117,211,254,319,415,934,1025,1130,1170,1241,1340
"Normal1, 85th Right d2",24,117,208,254,322,421,980,1079,1170,1218,1289,1405
"Normal1, 89th Right d2",27,123,222,273,347,461,986,1082,1196,1244,1320,1431
